message_id,expected_action,expected_scope,executable,source_text,notes
23,CLOSE_FULL,REPLY_TARGET,true,"Close FULL +50pips ✅✅✅","Reply-linked full close"
25,PARTIAL_CLOSE_AND_MOVE_SL_ENTRY,REPLY_TARGET,true,"Running +30pips ✅✅✅ Close 1/2. 1/2 Move SL to Entry holding","Compound management"
29,MOVE_SL_ENTRY,REPLY_TARGET,true,"20pips Move SL to Entry 2020 ✅✅✅","Explicit BE/entry stop"
30,PARTIAL_CLOSE,REPLY_TARGET,true,"Running +30pips ✅✅✅ Close 1/2","Partial close"
33,PARTIAL_CLOSE_AND_MOVE_SL_ENTRY,REPLY_TARGET,true,"Running +30pips ✅✅✅ Close 1/2. 1/2 Move SL to Entry holding","Compound management"
94,CLOSE_ALL,REPLY_TARGET,true,"Close All + 100pip ✅✅✅","Reply-linked close all"
111,PARTIAL_CLOSE_AND_MOVE_SL_ENTRY,REPLY_TARGET,true,"Running +40pips Close 1/2 ✅✅✅. Move SL to Entry","Compound management"
115,MARKET_ENTRY,GLOBAL_DIRECTIONAL,true,"Buy gold now","No explicit reply; must not be silently attached if scope ambiguous"
118,STOP_REPORTED,REPLY_TARGET,true,"SL HIT 🔴","Provider outcome/management event"
136,CLOSE_ALL,GLOBAL_DIRECTIONAL,true,"Close All SELL GOLD +90pips 🤑🤑🤑🥰","Global directional close"
143,MOVE_SL,REPLY_TARGET,true,"55pips. ✅✅ Move stl to 1953","Explicit stop amendment"
149,PARTIAL_CLOSE,REPLY_TARGET,true,"You can close 1/2 this signal","Reply-linked partial close"
150,CLOSE_ALL,REPLY_TARGET,true,"+60pips ✅✅✅ Close all","Reply-linked close all"
159,CLOSE_ALL,GLOBAL_ALL,true,"Close all signals before news 👍👍 now 1958 ✅","Global close instruction"
192,MOVE_SL,REPLY_TARGET,true,"+30pips. Move stl to 1962 ✅✅","Explicit stop amendment"
194,PARTIAL_CLOSE_AND_MOVE_SL_ENTRY,REPLY_TARGET,true,"Running +40pips Close 1/2 ✅✅✅. Move SL to Entry","Compound management"
198,ROUND_MANAGEMENT,REPLY_TARGET,true,"Round 2 +60pips Close 1/2 ✅✅✅. Move SL to Entry","Round-2 compound management"
199,CLOSE_ALL,REPLY_TARGET,true,"Close all +110Pips 🤑🤑🤑🥰","Reply-linked close all"
205,REENTRY,REPLY_TARGET,true,"Buy again. Use small lot","Re-entry language"
231,REENTRY_WAIT,REPLY_TARGET,true,"Wait for the price to come back and buy again","Conditional re-entry"
238,CLOSE_ENTRY_AND_HOLD_OTHER,REPLY_TARGET,true,"+30pips Close entry 1950 ✅✅✅. Hold entry 1953❤️❤️🥰","Per-entry management"
512,CLOSE_ALL_AND_CANCEL_PENDING,GLOBAL_ALL,true,"🔥 🔥 CLOSE ALL open orders and cancel limit orders before FOMC news is announced. Keep your account safe.","Global close plus pending cancellation"
592,ROUND_REENTRY,REPLY_TARGET,true,"Round 2. Small lot","Round-2 re-entry"
593,PARTIAL_CLOSE_AND_MOVE_SL_ENTRY,AMBIGUOUS,false,"+30pips. Close 1/2 ✅✅✅ Stoploss to entry","Unlinked management example; ambiguity must fail closed unless resolver establishes scope"
598,MOVE_SL_AND_CLOSE_ENTRY,REPLY_TARGET,true,"All stoploss to 1928 ✅ close entry 1930","Per-entry plus all-stop amendment"
